Character,Pronoun
ª¢,a
ª¤,i
ª¨,e
ªª,o
ª¦,u
ª«,ka
ª­,ki
ª±,ke
ª¯,ku
ª³,ko
ªµ,sa
ª·,shi
ª»,se
ª¹,su
ª½,so
ª¿,ta
ªÁ,chi
ªÄ,tsu
ªÆ,te
ªÈ,to
ªÊ,na
ªË,ni
ªÍ,ne
ªÎ,no
ªÌ,nu
ªÏ,ha
ªØ,he
ªÒ,hi
ªÛ,ho
ªÕ,fu
ªÞ,ma
ªß,mi
ªá,me
ªâ,mo
ªà,mu
ªä,ya
ªè,yo
ªæ,yu
ªï,wa
ªò,wo
ªó,n
ªé,ra
ªê,ri
ªí,ro
ªì,re
ªë,ru
