Character,Pronoun
«¢,a
«¤,i
«¨,e
«¦,u
«ª,o
««,ka
«­,ki
«¯,ku
«±,ke
«³,ko
«µ,sa
«·,shi
«¹,su
«»,se
«½,so
«Ê,na
ì£,ni
«Ì,nu
«Í,ne
«Î,no
«¿,ta
«Á,chi
«Ä,tsu
«Æ,te
«È,to
«Ï,ha
ªØ,he
«Û,ho
«Ò,hi
«Õ,fu
«Þ,ma
«ß,mi
«á,me
«â,mo
«à,mu
«ä,ya
«è,yo
«æ,yu
«ï,wa
«ò,wo
«ó,n
«é,ra
«ê,ri
«ë,ru
«ì,re
«í,ro
